,sigma_a,center_a,amplitude_a,gamma_a,fwhm_a,height_a,sigma_b,center_b,amplitude_b,gamma_b,fwhm_b,height_b,sigma_g,center_g,amplitude_g,gamma_g,fwhm_g,height_g
5026,0.03235603871204473,6564.659579536037,31.161026477264166,28.250387211420502,56.50105719749389,0.3511049142716643,0.0030380400583784883,4863.39009856831,35.94172870412011,27.95422838542957,55.90862833822561,0.40926214382270776,0.011648723638302272,4342.273301371502,30.583463904787205,21.209726081111423,42.41960064580833,0.45898829343468434
5027,0.03235603871204473,6564.659579536037,31.161026477264166,28.250387211420502,56.50105719749389,0.3511049142716643,0.0030380400583784883,4863.39009856831,35.94172870412011,27.95422838542957,55.90862833822561,0.40926214382270776,0.011648723638302272,4342.273301371502,30.583463904787205,21.209726081111423,42.41960064580833,0.45898829343468434
5028,0.03296581379205188,6566.889300398501,52.29481121603019,42.82443420225117,85.6492053184991,0.38870205414926273,0.009688420689779598,4864.080657565943,68.81894644247824,40.82444648582766,81.64914894158647,0.5365841220470404,22.47762757273484,4342.149350416618,42.64220953415595,12.677806641439137,67.78491967495722,0.5082016517660971
5029,0.0072031587840082345,6564.75577295656,40.18230291173306,35.76969408611301,71.53961076876854,0.3575771075079147,0.00166377412338381,4863.3467819040225,54.57196428271812,36.33532287967856,72.67086771378058,0.47806911640111166,13.754436875146725,4342.471591512279,38.37572672948507,18.23109493691377,56.05785805132527,0.49571395763245907
5030,0.008761611920149459,6565.164277369569,29.219617986726437,23.647225729776476,47.29460543057282,0.39331852730402667,9.095223710842149e-05,4862.983902188702,27.46942781963971,18.405370286028568,36.81085288770674,0.4750673475570998,0.00537422672600707,4342.313898585348,21.778532575955005,13.279898611577789,26.559884738741438,0.5220161157052352
5031,0.008056434524872369,6562.755988261852,57.53539644422616,45.10935342054889,90.2189863958528,0.40599307063422035,0.07494639028318151,4862.39097021688,68.11837937894808,40.60058914523928,81.20183812956031,0.5340484007803652,20.90148454373122,4341.247264764508,45.39559825985261,14.105271931825957,66.02121958874913,0.5437668273335122
5032,0.007849756892341908,6565.204061956736,30.549751444936796,31.054436367189343,62.10906814682239,0.31313681462673143,0.0022645768257500976,4862.124729067325,38.93461756325844,30.559920364854232,61.12002771406618,0.40554011493331354,0.02018769400303766,4341.614695603386,27.959519859031868,19.825794519195682,39.65177125002866,0.44889915245633694
5033,0.007849756892341908,6565.204061956736,30.549751444936796,31.054436367189343,62.10906814682239,0.31313681462673143,0.0022645768257500976,4862.124729067325,38.93461756325844,30.559920364854232,61.12002771406618,0.40554011493331354,0.02018769400303766,4341.614695603386,27.959519859031868,19.825794519195682,39.65177125002866,0.44889915245633694
5034,0.007849756892341908,6565.204061956736,30.549751444936796,31.054436367189343,62.10906814682239,0.31313681462673143,0.0022645768257500976,4862.124729067325,38.93461756325844,30.559920364854232,61.12002771406618,0.40554011493331354,0.02018769400303766,4341.614695603386,27.959519859031868,19.825794519195682,39.65177125002866,0.44889915245633694
5035,0.007849756892341908,6565.204061956736,30.549751444936796,31.054436367189343,62.10906814682239,0.31313681462673143,0.0022645768257500976,4862.124729067325,38.93461756325844,30.559920364854232,61.12002771406618,0.40554011493331354,0.02018769400303766,4341.614695603386,27.959519859031868,19.825794519195682,39.65177125002866,0.44889915245633694
